,No,標準的な表記,読み,語彙の難易度,品詞1,品詞2(詳細),語種
651,704,幾分,イクブン,5.上級前半,名詞,名詞-普通名詞-副詞可能,混種語
655,707,イクラ,イクラ,4.中級後半,名詞,名詞-普通名詞-一般,外来語
656,709,幾らか,イクラカ,4.中級後半,名詞,名詞-普通名詞-副詞可能 and 助詞-副助詞,和語
661,714,以後,イゴ,4.中級後半,名詞,名詞-普通名詞-副詞可能,漢語
662,715,囲碁,イゴ,4.中級後半,名詞,名詞-普通名詞-一般,漢語
663,716,憩い,イコイ,5.上級前半,名詞,名詞-普通名詞-一般,和語
665,718,移行,イコウ,4.中級後半,名詞,名詞-普通名詞-サ変可能,漢語
666,719,意向,イコウ,4.中級後半,名詞,名詞-普通名詞-一般,漢語
668,721,異国,イコク,4.中級後半,名詞,名詞-普通名詞-一般,漢語
669,722,居心地,イゴコチ,4.中級後半,名詞,名詞-普通名詞-一般,和語
670,723,遺骨,イコツ,6.上級後半,名詞,名詞-普通名詞-一般,漢語
674,727,遺作,イサク,6.上級後半,名詞,名詞-普通名詞-一般,漢語
675,728,いざこざ,イザコザ,6.上級後半,名詞,名詞-普通名詞-一般,和語
678,730,遺産,イサン,4.中級後半,名詞,名詞-普通名詞-一般,漢語
679,731,遺産相続,イサンソウゾク,5.上級前半,名詞,名詞-普通名詞-一般 and 名詞-普通名詞-サ変可能,漢語
682,733,意志,イシ,4.中級後半,名詞,名詞-普通名詞-一般,漢語
683,735,意思,イシ,4.中級後半,名詞,名詞-普通名詞-一般,漢語
684,736,維持,イジ,4.中級後半,名詞,名詞-普通名詞-サ変可能,漢語
685,737,意地,イジ,5.上級前半,名詞,名詞-普通名詞-一般,漢語
686,739,石垣,イシガキ,5.上級前半,名詞,名詞-普通名詞-一般,和語
687,740,意識,イシキ,4.中級後半,名詞,名詞-普通名詞-サ変可能,漢語
689,742,石ころ,イシコロ,5.上級前半,名詞,名詞-普通名詞-一般,和語
690,743,石段,イシダン,5.上級前半,名詞,名詞-普通名詞-一般,混種語
692,745,意思表示,イシヒョウジ,5.上級前半,名詞,名詞-普通名詞-一般 and 名詞-普通名詞-サ変可能,漢語
694,748,いじめっこ,イジメッコ,4.中級後半,名詞,名詞-普通名詞-一般 and 接尾辞-名詞的-一般,和語
697,751,慰謝料,イシャリョウ,5.上級前半,名詞,名詞-普通名詞-サ変可能 and 接尾辞-名詞的-一般,漢語
698,752,異臭,イシュウ,5.上級前半,名詞,名詞-普通名詞-一般,漢語
699,753,移住,イジュウ,4.中級後半,名詞,名詞-普通名詞-サ変可能,漢語
700,754,萎縮,イシュク,6.上級後半,名詞,名詞-普通名詞-サ変可能,漢語
701,756,遺書,イショ,5.上級前半,名詞,名詞-普通名詞-一般,漢語
702,757,衣装,イショウ,5.上級前半,名詞,名詞-普通名詞-一般,漢語
705,760,移植,イショク,4.中級後半,名詞,名詞-普通名詞-サ変可能,漢語
706,761,異色,イショク,5.上級前半,名詞,形状詞-一般,漢語
707,762,衣食,イショク,5.上級前半,名詞,名詞-普通名詞-一般,漢語
708,763,衣食住,イショクジュウ,4.中級後半,名詞,名詞-普通名詞-一般 and 名詞-普通名詞-一般,漢語
712,738,意地悪,イジワル,4.中級後半,名詞,名詞-普通名詞-一般 and 名詞-普通名詞-一般,混種語
713,767,意地悪い,イジワルイ,5.上級前半,名詞,名詞-普通名詞-一般 and 形容詞-一般,混種語
714,769,異人,イジン,6.上級後半,名詞,名詞-普通名詞-一般,漢語
715,768,偉人,イジン,5.上級前半,名詞,名詞-普通名詞-一般,漢語
717,771,伊豆,イズ,4.中級後半,名詞,名詞-固有名詞-地名-一般,漢語
719,773,泉,イズミ,4.中級後半,名詞,名詞-普通名詞-一般,和語
722,776,いずれ,イズレ,5.上級前半,名詞,代名詞,和語
723,777,いずれ,イズレ,5.上級前半,名詞,副詞,和語
724,779,どれ,イズレ,5.上級前半,名詞,副詞,和語
727,782,異性,イセイ,4.中級後半,名詞,名詞-普通名詞-一般,漢語
728,784,遺跡,イセキ,4.中級後半,名詞,名詞-普通名詞-一般,漢語
729,783,移籍,イセキ,5.上級前半,名詞,名詞-普通名詞-サ変可能,漢語
732,787,いそ,イソ,6.上級後半,名詞,名詞-普通名詞-一般,和語
735,790,急ぎ,イソギ,4.中級後半,名詞,名詞-普通名詞-副詞可能,和語
736,791,急ぎ足,イソギアシ,4.中級後半,名詞,名詞-普通名詞-一般,和語
738,793,遺族,イゾク,5.上級前半,名詞,名詞-普通名詞-一般,漢語
739,794,依存,イゾン,4.中級後半,名詞,名詞-普通名詞-サ変可能,漢語
740,795,板,イタ,4.中級後半,名詞,名詞-普通名詞-一般,和語
742,797,遺体,イタイ,4.中級後半,名詞,名詞-普通名詞-一般,漢語
745,800,委託,イタク,6.上級後半,名詞,名詞-普通名詞-サ変可能,漢語
749,805,頂,イタダキ,5.上級前半,名詞,名詞-普通名詞-一般,和語
750,806,いただき物,イタダキモノ,5.上級前半,名詞,名詞-普通名詞-一般,和語
752,808,板チョコ,イタチョコ,4.中級後半,名詞,名詞-普通名詞-一般,混種語
754,810,痛手,イタデ,6.上級後半,名詞,名詞-普通名詞-一般,和語
755,811,板の間,イタノマ,6.上級後半,名詞,名詞-普通名詞-一般,和語
756,812,板前,イタマエ,6.上級後半,名詞,名詞-普通名詞-一般,和語
759,815,傷み,イタミ,5.上級前半,名詞,名詞-普通名詞-一般,和語
765,821,至り,イタリ,5.上級前半,名詞,名詞-普通名詞-一般,和語
768,825,至る所,イタルトコロ,4.中級後半,名詞,名詞-普通名詞-一般,和語
771,830,一々,イチイチ,5.上級前半,名詞,名詞-普通名詞-副詞可能,漢語
772,832,一員,イチイン,4.中級後半,名詞,名詞-普通名詞-一般,漢語
773,833,一因,イチイン,4.中級後半,名詞,名詞-普通名詞-一般,漢語
778,840,一眼レフ,イチガンレフ,6.上級後半,名詞,名詞-普通名詞-一般 and 名詞-普通名詞-一般,混種語
779,843,一昨日,イチキノウ,4.中級後半,名詞,名詞-数詞 and 名詞-普通名詞-副詞可能,漢語
780,844,一行,イチギョウ,4.中級後半,名詞,名詞-数詞 and 名詞-普通名詞-一般,漢語
781,845,一行,イチギョウ,5.上級前半,名詞,名詞-数詞 and 接尾辞-名詞的-助数詞,漢語
782,846,一軍/１軍,イチグン,5.上級前半,名詞,名詞-数詞 and 名詞-普通名詞-一般,漢語
783,847,一撃,イチゲキ,5.上級前半,名詞,名詞-普通名詞-サ変可能,漢語
784,848,一見,イチゲン,6.上級後半,名詞,名詞-普通名詞-一般,漢語
786,851,一期一会,イチゴイチエ,5.上級前半,名詞,名詞-普通名詞-一般 and 名詞-普通名詞-一般,漢語
787,852,一個人,イチコジン,5.上級前半,名詞,名詞-数詞 and 名詞-普通名詞-一般,漢語
788,853,一戸建て,イチコダテ,4.中級後半,名詞,名詞-数詞 and 接尾辞-名詞的-助数詞 and 接尾辞-名詞的-一般,混種語
789,856,一時,イチジ,4.中級後半,名詞,名詞-普通名詞-副詞可能,漢語
790,857,一時期,イチジキ,4.中級後半,名詞,名詞-数詞 and 名詞-普通名詞-副詞可能,漢語
792,860,一時に,イチジニ,6.上級後半,名詞,名詞-普通名詞-副詞可能 and 助詞-格助詞,混種語
793,859,一時に,イチジニ,6.上級後半,名詞,名詞-数詞 and 接尾辞-名詞的-助数詞 and 助詞-格助詞,混種語
794,861,一種,イチシュ,4.中級後半,名詞,名詞-数詞 and 接尾辞-名詞的-助数詞,漢語
798,865,一族,イチゾク,4.中級後半,名詞,名詞-普通名詞-一般,漢語
799,866,一体,イチタイ,4.中級後半,名詞,名詞-数詞 and 接尾辞-名詞的-助数詞,漢語
802,871,一段落,イチダンラク,4.中級後半,名詞,名詞-数詞 and 名詞-普通名詞-一般,漢語
806,875,一同,イチドウ,4.中級後半,名詞,名詞-普通名詞-一般,漢語
807,876,一読,イチドク,4.中級後半,名詞,名詞-普通名詞-サ変可能,漢語
811,881,一人前,イチニンマエ,4.中級後半,名詞,名詞-普通名詞-一般,混種語
812,882,一人前,イチニンマエ,4.中級後半,名詞,名詞-数詞 and 接尾辞-名詞的-助数詞 and 名詞-普通名詞-副詞可能,混種語
815,885,一倍,イチバイ,4.中級後半,名詞,名詞-数詞 and 接尾辞-名詞的-助数詞,漢語
818,889,一番乗り,イチバンノリ,5.上級前半,名詞,副詞 and 名詞-普通名詞-一般,混種語
821,892,一部分,イチブブン,4.中級後半,名詞,名詞-数詞 and 名詞-普通名詞-一般,漢語
823,895,一望,イチボウ,5.上級前半,名詞,名詞-普通名詞-サ変可能,漢語
825,897,一回り,イチマワリ,4.中級後半,名詞,名詞-数詞 and 接尾辞-名詞的-助数詞,和語
826,898,一味,イチミ,5.上級前半,名詞,名詞-普通名詞-一般,漢語
827,899,一昔,イチムカシ,5.上級前半,名詞,名詞-数詞 and 名詞-普通名詞-副詞可能,和語
828,900,一名,イチメイ,4.中級後半,名詞,名詞-数詞 and 接尾辞-名詞的-助数詞,漢語
829,901,一命,イチメイ,5.上級前半,名詞,名詞-普通名詞-一般,漢語
830,902,一面,イチメン,4.中級後半,名詞,名詞-普通名詞-副詞可能,漢語
831,903,一面,イチメン,4.中級後半,名詞,名詞-数詞 and 接尾辞-名詞的-助数詞,漢語
832,904,一目,イチモク,5.上級前半,名詞,名詞-普通名詞-サ変可能,漢語
833,905,一目散,イチモクサン,5.上級前半,名詞,名詞-普通名詞-一般,漢語
834,906,一目瞭然,イチモクリョウゼン,5.上級前半,名詞,名詞-普通名詞-サ変可能 and 形状詞-タリ,漢語
835,908,一夜,イチヤ,5.上級前半,名詞,名詞-普通名詞-副詞可能,漢語
836,909,いちゃもん,イチャモン,6.上級後半,名詞,名詞-普通名詞-一般,和語
837,912,胃腸,イチョウ,4.中級後半,名詞,名詞-普通名詞-一般,漢語
838,911,いちょう,イチョウ,5.上級前半,名詞,名詞-普通名詞-一般,漢語
839,910,医長,イチョウ,6.上級後半,名詞,名詞-普通名詞-一般,漢語
841,914,一覧,イチラン,5.上級前半,名詞,名詞-普通名詞-サ変可能,漢語
842,915,一律,イチリツ,4.中級後半,名詞,名詞-普通名詞-副詞可能,漢語
843,916,一流,イチリュウ,4.中級後半,名詞,名詞-普通名詞-一般,漢語
844,917,一塁,イチルイ,6.上級後半,名詞,名詞-普通名詞-一般,漢語
845,918,一塁,イチルイ,6.上級後半,名詞,名詞-数詞 and 名詞-普通名詞-一般,漢語
846,919,一例,イチレイ,4.中級後半,名詞,名詞-数詞 and 名詞-普通名詞-一般,漢語
847,920,一礼,イチレイ,6.上級後半,名詞,名詞-普通名詞-サ変可能,漢語
848,921,一列,イチレツ,4.中級後半,名詞,名詞-数詞 and 名詞-普通名詞-一般,漢語
849,922,一連,イチレン,5.上級前半,名詞,名詞-普通名詞-一般,漢語
850,923,一連,イチレン,5.上級前半,名詞,名詞-数詞 and 接尾辞-名詞的-助数詞,漢語
852,929,胃痛,イツウ,4.中級後半,名詞,名詞-普通名詞-一般,漢語
853,930,一家,イッカ,4.中級後半,名詞,名詞-普通名詞-一般,漢語
856,933,一角,イッカク,6.上級後半,名詞,名詞-普通名詞-一般,漢語
857,934,一獲千金,イッカクセンキン,6.上級後半,名詞,名詞-普通名詞-一般 and 名詞-普通名詞-一般,漢語
858,936,一括,イッカツ,5.上級前半,名詞,名詞-普通名詞-サ変可能,漢語
859,937,一貫,イッカン,6.上級後半,名詞,名詞-普通名詞-サ変可能,漢語
860,938,一環,イッカン,6.上級後半,名詞,名詞-普通名詞-一般,漢語
861,939,一気,イッキ,5.上級前半,名詞,名詞-普通名詞-一般,漢語
863,941,一見,イッケン,4.中級後半,名詞,副詞,漢語
864,942,一見,イッケン,4.中級後半,名詞,名詞-普通名詞-サ変可能,漢語
865,943,一行,イッコウ,5.上級前半,名詞,名詞-普通名詞-一般,漢語
868,946,一刻,イッコク,5.上級前半,名詞,名詞-普通名詞-副詞可能,漢語
869,947,一切,イッサイ,4.中級後半,名詞,名詞-普通名詞-副詞可能,漢語
870,948,一昨日,イッサクジツ,4.中級後半,名詞,名詞-普通名詞-一般 and 名詞-普通名詞-一般,漢語
871,949,一昨年,イッサクネン,4.中級後半,名詞,名詞-普通名詞-一般 and 名詞-普通名詞-一般,漢語
872,951,一式,イッシキ,4.中級後半,名詞,名詞-普通名詞-一般,漢語
873,952,一室,イッシツ,4.中級後半,名詞,名詞-普通名詞-一般,漢語
874,953,一種,イッシュ,4.中級後半,名詞,名詞-普通名詞-一般,漢語
875,954,一瞬,イッシュン,4.中級後半,名詞,名詞-普通名詞-副詞可能,漢語
880,959,一心,イッシン,5.上級前半,名詞,名詞-普通名詞-一般,漢語
881,960,一睡,イッスイ,6.上級後半,名詞,名詞-普通名詞-サ変可能,漢語
883,962,一寸,イッスン,6.上級後半,名詞,名詞-普通名詞-一般,漢語
884,963,一斉,イッセイ,5.上級前半,名詞,名詞-普通名詞-一般,漢語
886,965,一石二鳥,イッセキニチョウ,5.上級前半,名詞,名詞-普通名詞-一般 and 名詞-普通名詞-一般,漢語
887,966,一説,イッセツ,5.上級前半,名詞,名詞-普通名詞-一般,漢語
888,967,一線,イッセン,5.上級前半,名詞,名詞-普通名詞-一般,漢語
892,971,一体,イッタイ,4.中級後半,名詞,名詞-普通名詞-一般,漢語
893,972,一帯,イッタイ,5.上級前半,名詞,名詞-普通名詞-一般,漢語
895,974,一端,イッタン,5.上級前半,名詞,名詞-普通名詞-一般,漢語
896,975,一致,イッチ,4.中級後半,名詞,名詞-普通名詞-サ変可能,漢語
897,976,一丁,イッチョウ,6.上級後半,名詞,名詞-普通名詞-副詞可能,漢語
899,978,一手,イッテ,6.上級後半,名詞,名詞-普通名詞-一般,混種語
900,979,一定,イッテイ,4.中級後半,名詞,名詞-普通名詞-サ変形状詞可能,漢語
903,983,一時,イットキ,5.上級前半,名詞,名詞-普通名詞-一般,漢語
906,986,一杯一杯,イッパイイッパイ,4.中級後半,名詞,名詞-普通名詞-形状詞可能 and 名詞-普通名詞-形状詞可能,漢語
907,987,一般,イッパン,4.中級後半,名詞,名詞-普通名詞-一般,漢語
909,989,一般に,イッパンニ,4.中級後半,名詞,名詞-普通名詞-一般 and 助詞-格助詞,混種語
910,990,一般論,イッパンロン,4.中級後半,名詞,名詞-普通名詞-一般 and 名詞-普通名詞-一般,漢語
911,991,一夫多妻,イップタサイ,6.上級後半,名詞,名詞-普通名詞-一般 and 名詞-普通名詞-一般,漢語
912,992,一変,イッペン,5.上級前半,名詞,名詞-普通名詞-サ変可能,漢語
913,993,一遍,イッペン,5.上級前半,名詞,名詞-普通名詞-副詞可能,漢語
917,997,一方,イッポウ,4.中級後半,名詞,名詞-普通名詞-副詞可能,漢語
918,998,一報,イッポウ,5.上級前半,名詞,名詞-普通名詞-サ変可能,漢語
919,999,一方通行,イッポウツウコウ,4.中級後半,名詞,接続詞 and 名詞-普通名詞-サ変可能,漢語
921,1002,一本,イッポン,4.中級後半,名詞,名詞-普通名詞-一般,漢語
926,1008,イデオロギー,イデオロギー,5.上級前半,名詞,名詞-普通名詞-一般,外来語
927,1010,移転,イテン,4.中級後半,名詞,名詞-普通名詞-サ変可能,漢語
928,1011,遺伝,イデン,4.中級後半,名詞,名詞-普通名詞-サ変可能,漢語
929,1012,遺伝子,イデンシ,5.上級前半,名詞,名詞-普通名詞-サ変可能 and 接尾辞-名詞的-一般,漢語
930,1013,糸,イト,4.中級後半,名詞,名詞-普通名詞-一般,和語
931,1014,意図,イト,5.上級前半,名詞,名詞-普通名詞-サ変可能,漢語
